opt_type,beta_hyp,L_,beta_var,k0,k1,w_lo_k,phi
1b2k,1,4.6,0.99,9.3,129.6,0.669,1.1
1b2k,1,4.4,0.99,9.8,129.6,0.672,1.5
1b2k,1,4.1,0.991,9.3,129.8,0.659,1.9
1b2k,1,3.4,0.991,8,117.9,0.601,1.1
1b2k,1,4.3,0.99,8.6,99.4,0.604,1.5
1b2k,1,2.5,0.993,8.9,116.3,0.608,1.9
1b2k,1,4.9,0.99,10.7,113,0.685,1.1
1b2k,1,5.4,0.989,9.3,103.5,0.651,1.5
1b2k,1,4.6,0.99,8.8,99.1,0.612,1.9
1b2k,1,2.2,0.993,9.3,127.3,0.619,1.1
1b2k,0.986,3.1,0.992,7.8,115.6,0.58,1.5
1b2k,0.97,5.1,0.99,7.6,104.2,0.604,1.9
1b2k,0.962,4.5,0.991,7.1,129.3,0.623,1.1
1b2k,1,3.2,0.992,10.5,100.8,0.622,1.5
1b2k,1,1.5,0.994,11.3,132.7,0.647,1.9
