opt_type,L_,b0,b1,beta_var,k0,k1,w_lo_beta,w_lo_k,phi
2b2k,7,0.489,0.903,0.994,3,55.3,0.222,0.825,1.1
2b2k,5.1,0.527,0.911,0.995,3.1,55.6,0.227,0.801,1.5
2b2k,7.3,0.459,0.998,0.99,3.1,33.5,0.186,0.748,1.9
2b2k,3.3,0.604,1,0.995,4.2,49.7,0.235,0.783,1.1
2b2k,7.8,0.412,0.969,0.99,2.8,55,0.185,0.792,1.5
2b2k,7.5,0.441,0.962,0.991,2.4,28.1,0.198,0.674,1.9
2b2k,6.1,0.53,0.901,0.995,2.8,53.7,0.252,0.793,1.1
2b2k,5.3,0.45,1,0.992,3.3,33.5,0.173,0.717,1.5
2b2k,2,0.3,0.9,0.992,2,10,0.15,0.15,1.9
2b2k,3,0.4,1,0.994,3,20,0.2,0.25,1.1
2b2k,4,0.5,0.9,0.996,4,30,0.25,0.25,1.5
2b2k,5,0.3,1,0.992,5,20,0.15,0.15,1.9
2b2k,6,0.4,0.9,0.996,2,30,0.25,0.15,1.1
2b2k,2,0.5,1,0.994,3,10,0.02,0.15,1.5
2b2k,3,0.3,0.9,0.994,4,10,0.15,0.15,1.9
2b2k,4,0.4,1,0.996,5,20,0.2,0.25,1.1
2b2k,5,0.5,0.9,0.992,2,30,0.25,0.25,1.5
2b2k,6,0.3,1,0.992,3,30,0.15,0.45,1.9
2b2k,2,0.4,0.9,0.994,4,20,0.25,0.55,1.1
2b2k,3,0.5,1,0.996,5,10,0.02,0.55,1.5
2b2k,4,0.3,0.9,0.992,2,10,0.15,0.45,1.9
2b2k,5,0.4,1,0.996,3,20,0.2,0.45,1.1
2b2k,6,0.5,0.9,0.994,4,30,0.25,0.45,1.5
2b2k,2,0.3,1,0.994,5,20,0.15,0.45,1.9
2b2k,3,0.4,0.9,0.996,2,30,0.25,0.55,1.1
2b2k,4,0.5,1,0.992,3,10,0.02,0.55,1.5
2b2k,5,0.3,0.9,0.992,4,10,0.15,0.45,1.9
2b2k,6,0.4,1,0.994,5,20,0.2,0.55,1.1
