"","mos_since_start","mos_since_last_ck","exhaust_approx","n","cons_ub_adj","inc_adj","income_ub_adj","cons_adj","labor_broad_adj","inflow_paper_ck","mos_unemp","unemp","cons","cons_base_start_tmp","inc_base_start_tmp","cons_base_exhaust_tmp","inc_base_exhaust_tmp","cons_base_exhaust_immed_tmp","inc_base_exhaust_immed_tmp","labor_base_start_tmp","labor_base_exhaust_immed_tmp","d_cons_start","d_inc_start","d_cons_exhaust","d_inc_exhaust","d_cons_exhaust_immed","d_inc_exhaust_immed","labor_base_start","labor_base_exhaust_immed","d_cons_start_ex_wr"
"1",-31,-30,FALSE,63,5083.73698394147,4007.15977964582,5377.55740743373,2576.65722087118,3203.42442925364,1124.10387301587,2,0,3603.19537092323,NA,NA,NA,NA,NA,NA,NA,NA,-171.183423969487,276.057746602443,NA,NA,NA,NA,720.812724244015,NA,-171.183423969487
"2",-30,-30,FALSE,541,4694.70523215905,3666.47810549742,4875.8852051628,2707.07937311717,2940.36500044749,1180.21612569316,1.31053604436229,0,3381.04413452972,NA,NA,NA,NA,NA,NA,NA,NA,-355.32750692217,-92.6773362764674,NA,NA,NA,NA,-131.281478652723,NA,-355.32750692217
"3",-30,-29,FALSE,108,5036.09107173746,3821.58617957513,4885.82885568639,2351.1122748385,3040.79310372445,1133.08418518518,2,0,3442.49995664236,NA,NA,NA,NA,NA,NA,NA,NA,-108.604253331577,373.753241417884,NA,NA,NA,NA,574.418270207685,NA,-108.604253331577
"4",-29,-30,FALSE,1397,4598.60721556024,3579.92943502981,5015.95036888173,2664.73394508748,2963.09233335654,1039.87802004295,2.09735146743021,0,3370.23355075303,NA,NA,NA,NA,NA,NA,NA,NA,-399.164324739332,-185.829110544597,NA,NA,NA,NA,-166.654588930862,NA,-399.164324739332
"5",-29,-29,FALSE,1089,4755.81540586915,3658.52316032533,5100.1973435011,2777.12399581546,3016.72624851661,1089.46701928375,1.31221303948577,0,3508.78810049778,NA,NA,NA,NA,NA,NA,NA,NA,-256.823691305122,5.04513400090251,NA,NA,NA,NA,-14.0744807826905,NA,-256.823691305122
"6",-29,-28,FALSE,137,5293.04525065785,3812.56346987152,5896.161488293,2572.00178704471,2899.4465069151,1499.53506569343,2,0,3731.80887679644,NA,NA,NA,NA,NA,NA,NA,NA,-20.697665325255,343.676124305298,NA,NA,NA,NA,444.449752953675,NA,-20.697665325255
"7",-28,-30,FALSE,956,4551.98464981116,3530.99608568288,4731.04447557479,2616.22583878976,2801.87985188099,1018.23435564854,3.09832635983264,0,3336.14988684606,NA,NA,NA,NA,NA,NA,NA,NA,-265.913690658337,-198.876848081662,NA,NA,NA,NA,-147.481458591607,NA,-265.913690658337
"8",-28,-29,FALSE,2590,4528.19900890991,3566.82200349249,4739.23544467632,2642.12684145265,2945.13617732812,1002.58358301158,2.09189189189189,0,3358.68941220826,NA,NA,NA,NA,NA,NA,NA,NA,-398.353176269338,-247.813035674937,NA,NA,NA,NA,-199.650672149095,NA,-398.353176269338
"9",-28,-28,FALSE,1473,4620.91202142492,3599.30064789178,4854.83069976957,2734.74333630685,2916.20005141876,1166.46476578411,1.33129667345553,0,3510.47337322424,NA,NA,NA,NA,NA,NA,NA,NA,-184.325710629992,-39.6412297940998,NA,NA,NA,NA,-58.8415556842693,NA,-184.325710629992
"10",-28,-27,FALSE,181,4815.62327678441,3671.43438005127,5183.80499917023,2537.90815331924,2879.63062257942,1144.2349281768,2,0,3555.08957013225,NA,NA,NA,NA,NA,NA,NA,NA,-46.9857654276095,225.734006935999,NA,NA,NA,NA,392.585060832009,NA,-46.9857654276095
"11",-27,-30,FALSE,798,4223.16065436753,3191.09890245284,4444.02685605528,2480.38864108839,2526.79446016425,1070.06718295739,4.12781954887218,0,3068.20847451555,NA,NA,NA,NA,NA,NA,NA,NA,-530.347925408064,-363.156005901029,NA,NA,NA,NA,-310.378100347801,NA,-530.347925408064
"12",-27,-30,TRUE,70,3448.66312679861,3066.59535107439,3808.76255029087,2233.37430023626,2375.9415879838,726.099457142857,4.11428571428571,0,2831.19448203435,NA,NA,NA,NA,NA,NA,NA,NA,-583.362167262701,-305.859233971205,184.020493209861,1088.60917679457,-41.9418971117968,736.265450744072,-58.5198813001817,1938.1594936677,-583.362167262701
"13",-27,-29,FALSE,1811,4421.40237087274,3422.70389732028,4694.67654666816,2578.68241645425,2764.72473723569,1056.65084704583,3.10491441192711,0,3295.99918178361,NA,NA,NA,NA,NA,NA,NA,NA,-365.187804003761,-340.411028129769,NA,NA,NA,NA,-254.846191975938,NA,-365.187804003761
"14",-27,-28,FALSE,3538,4490.07255410566,3576.70917955664,4945.27854102988,2656.90071596052,2902.82045002924,1050.40775749011,2.09892594686263,0,3414.83759787955,NA,NA,NA,NA,NA,NA,NA,NA,-358.418547384985,-250.998301869738,NA,NA,NA,NA,-256.023864009181,NA,-358.418547384985
"15",-27,-27,FALSE,1869,4505.16548405194,3439.46807596137,4917.37692664193,2658.84329198195,2796.70762173479,1113.92746388443,1.33814874264312,0,3456.00430667155,NA,NA,NA,NA,NA,NA,NA,NA,-158.399373162716,-150.588646102751,NA,NA,NA,NA,-100.531103827427,NA,-158.399373162716
"16",-27,-26,FALSE,228,4608.93955862877,3732.0587737728,5014.71315674583,2427.34703757044,3036.7072181387,1056.83142105263,2,0,3446.43945820935,NA,NA,NA,NA,NA,NA,NA,NA,-117.076625908119,246.36583648663,NA,NA,NA,NA,509.101525822796,NA,-117.076625908119
"17",-26,-30,FALSE,529,4181.71835931279,3180.40832136875,4403.45611658847,2561.25374231026,2551.85180213449,1028.53551984877,5.01890359168242,0,3198.70963893416,NA,NA,NA,NA,NA,NA,NA,NA,-411.710122508168,-356.724475048893,NA,NA,NA,NA,-244.347901027849,NA,-411.710122508168
"18",-26,-30,TRUE,300,4031.93684679861,2984.1009558363,4724.71975981468,2331.63834785531,2317.87006607904,1102.2286,5.38666666666667,0,2957.54638203435,NA,NA,NA,NA,NA,NA,NA,NA,-245.12698706627,-219.118073277721,155.019190828909,596.463324413613,-79.0219947308443,273.649650744072,-130.679171465063,1355.99624985817,-245.12698706627
"19",-26,-29,FALSE,1431,4246.68132985166,3331.62096303367,4515.2019683,2543.03389571118,2631.94576587614,1060.03340321454,4.10621942697414,0,3164.86214404389,NA,NA,NA,NA,NA,NA,NA,NA,-473.977364159898,-274.581622762483,NA,NA,NA,NA,-239.640065993004,NA,-473.977364159898
"20",-26,-29,TRUE,196,3657.80890580407,2942.3294721676,3605.83336533379,2222.94133788145,2333.32296162624,843.838306122449,4.04081632653061,0,2745.49455749288,NA,NA,NA,NA,NA,NA,NA,NA,-389.841494545694,-343.341528150951,222.147508576116,648.900858478708,-81.8235105402733,186.70302284484,-236.301255247938,1464.96237200748,-389.841494545694
"21",-26,-28,FALSE,2470,4338.10334876556,3414.48001830004,4542.77025767708,2536.30178011512,2767.00176610996,1027.22908906883,3.09959514170041,0,3291.16752976291,NA,NA,NA,NA,NA,NA,NA,NA,-329.882445534184,-305.643575077655,NA,NA,NA,NA,-237.114036731295,NA,-329.882445534184
"22",-26,-27,FALSE,4549,4543.58800070512,3533.94097437468,4680.18109570161,2646.01850429659,2867.68790195258,1016.70713299626,2.09892284018466,0,3434.08430488748,NA,NA,NA,NA,NA,NA,NA,NA,-351.001738176285,-277.045126699453,NA,NA,NA,NA,-263.900607433542,NA,-351.001738176285
"23",-26,-26,FALSE,2200,4479.50938574563,3386.77615215099,5150.97146424055,2655.52335705367,2745.90149518991,1061.06815454545,1.34363636363636,0,3413.98049730208,NA,NA,NA,NA,NA,NA,NA,NA,-205.524213951335,-164.306406844051,NA,NA,NA,NA,-126.220992221743,NA,-205.524213951335
"24",-26,-25,FALSE,265,4449.15367355944,3701.81149241693,4640.93196015194,2523.7348195992,2862.60216700523,1034.47548679245,2,0,3400.96894949052,NA,NA,NA,NA,NA,NA,NA,NA,-129.529596188028,224.748388209114,NA,NA,NA,NA,328.622135369578,NA,-129.529596188028
"25",-25,-30,FALSE,262,4438.83082908868,3445.02623548006,4869.82283818618,2528.82011375862,2788.54628154977,993.40506870229,6,0,3216.36984081297,NA,NA,NA,NA,NA,NA,NA,NA,-429.201108757041,-194.107408682456,NA,NA,NA,NA,-230.162846330659,NA,-429.201108757041
"26",-25,-30,TRUE,522,4339.01183944229,3459.04289951446,4462.59719123231,2654.88135743386,2847.17817856946,951.324007662835,6.04980842911877,0,3350.98035176615,NA,NA,NA,NA,NA,NA,NA,NA,-437.329412477319,-296.238989507819,-34.0434074469535,632.569124796755,-167.277214845787,410.527508215336,-360.608736506437,1914.02970932177,-437.329412477319
"27",-25,-29,FALSE,918,4257.52132416687,3311.83871227497,5700.96093616415,2525.08793574245,2670.57777934522,1044.68704139434,5.02614379084967,0,3255.93865045213,NA,NA,NA,NA,NA,NA,NA,NA,-348.739183144034,-293.724416785769,NA,NA,NA,NA,-273.001984127843,NA,-348.739183144034
"28",-25,-29,TRUE,546,3973.14285765881,3022.34943876984,3871.70836230168,2305.0373192552,2413.13114892899,962.020007326007,5.42857142857143,0,2877.76807710282,NA,NA,NA,NA,NA,NA,NA,NA,-365.391672552284,-265.32125375863,46.5759097353316,587.491453929704,-102.018185718009,300.745272939518,-164.097213242106,1535.21169643205,-365.391672552284
"29",-25,-28,FALSE,1883,4244.44018485729,3325.66385466929,4525.83636390382,2560.10794968121,2673.91831445133,1011.85954434413,4.10727562400425,0,3269.84235870029,NA,NA,NA,NA,NA,NA,NA,NA,-343.963755073175,-285.123989272529,NA,NA,NA,NA,-233.439473824736,NA,-343.963755073175
"30",-25,-28,TRUE,277,3982.89472743946,3160.96163061009,4004.68726875703,2297.52649486543,2551.04505035791,842.067198555956,4.02888086642599,0,2916.95715002108,NA,NA,NA,NA,NA,NA,NA,NA,-281.41128324326,-119.652625878912,338.271472454814,805.142858940056,83.5313656773356,534.123521300595,-63.0740957134688,1771.39805783527,-281.41128324326
