time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	-0.005715021222227001	-0.00458910262265233	-0.013342518575032436	85.18526452916437	0.9950135632176076	-0.01440562076880747	-0.030354134362031715	-0.016961282539691425	0.0013067273435898679	2.0
1.0	-0.009501634018276306	-0.005371649049656924	-0.002544776151200967	85.53137311928434	1.0025275547192944	-0.01749443563964226	-0.032504175403442304	-0.017879600164777187	-0.0028232576250294783	2.0
2.0	-0.0026009644049973524	-0.005408905759958671	-0.009084824133824831	85.43210043687533	0.9974690486732977	-0.022519592299530267	-0.04035320612553628	-0.02232934164893674	-1.5316270068427742e-05	2.0
3.0	-0.004838857570995003	-0.005989278794094499	-0.007917848038627717	85.75877318408945	0.9988308397956789	-0.023959086645589434	-0.0390328916962579	-0.024223906632226733	0.0011351049530312336	2.0
4.0	-0.009537246413881206	-0.007086633070984227	-0.013424946248824288	86.48938753882287	0.9988308397956789	-0.02918617382990174	-0.047846645590986725	-0.028503382983120495	-0.0013155083898656844	2.0
5.0	0.0002150056961323088	-0.0015855599392025077	0.0019531139800554875	85.3831472258988	0.9950135632176076	-0.028547612044747428	-0.04329876689857981	-0.02889098239697807	0.00048505724546930043	3.0
6.0	-0.00691454324167351	-0.006627790897837382	-0.004780647272462968	85.70492292815769	0.9999950537866926	-0.03617986691003816	-0.044755300067392145	-0.03307226822067877	0.0001983049016328455	2.0
7.0	-0.005164615557517127	-0.004974150576174452	0.003986408204982084	84.77483838904435	0.9999950537866926	-0.04163307071056099	-0.045156038234935636	-0.041923459369588745	7.839920290324609e-06	2.0
8.0	-0.006600916000323753	-0.006274102815692295	-0.011156738602382088	85.52954246048763	1.0025275547192944	-0.04331807090360096	-0.04297025826228529	-0.03784940798618264	-0.00031897326434100515	2.0
9.0	-0.008163372678344327	-0.00927343191495078	-0.009218512606958384	85.76331714721125	1.0011606406084814	-0.047219853768894815	-0.049643994718042705	-0.045318693487014006	0.0007910859722653243	1.0
10.0	-0.009595556671506689	-0.011002273078436264	-0.010527902087449359	86.36649809404574	1.0025275547192944	-0.05281322108737241	-0.05108707267166723	-0.056201813128978095	0.0021978023791949827	0.0
11.0	-0.013149782767011065	-0.009188923251843839	-0.01699077320333453	86.81677933482858	0.9950135632176076	-0.05601286554512175	-0.060159997836374046	-0.05804795428897558	-0.0017630571359724227	1.0
12.0	-0.004359151152350638	-0.008000739466364148	-0.0018345722534389708	86.65052548335562	0.9974690486732977	-0.05692697194050167	-0.04856962384098873	-0.06060223147204624	0.00187853117804109	1.0
13.0	-0.008102519291638188	-0.006641667443334942	0.0028428937025597456	86.28397075059709	1.0025275547192944	-0.061983079444634104	-0.04767984411848447	-0.0630245363065498	0.0004176793297379892	1.0
14.0	-0.006149562422972821	-0.00654509515617141	-0.012515858366511257	86.33351072098598	0.9950135632176076	-0.06190038370296813	-0.05541505521253276	-0.0634973331512132	0.0008132120629366457	1.0
15.0	-0.007750757371300043	-0.004861111857717759	0.0049023415112277036	85.55922476563335	0.9974690486732977	-0.06178734498451144	-0.05449912190628714	-0.06336841590753384	-0.00207643345064563	1.0
16.0	0.0005349737391768805	-0.0017883382868455477	-0.0013948083157035995	85.31612335190134	0.9988308397956789	-0.05730158045566469	-0.04473719161960865	-0.06049165038138016	0.00024687857537645803	2.0
17.0	-0.000673553762863488	-0.0031387430131939453	-0.009022717351056642	85.68221514871666	0.9988308397956789	-0.051166891553907856	-0.04454139636370691	-0.05468511330674808	0.002712067825707234	2.0
18.0	-0.009404304346446235	-0.004719564849263946	-0.007984099036045578	86.46267559281179	1.0050032991989473	-0.04488418332473554	-0.04199759331230313	-0.039342133845924554	-0.001972671671475179	2.0
19.0	-0.006388788206503904	-0.0047483918093975674	-0.004665100182670301	86.3832546887785	1.0050032991989473	-0.04044365188228927	-0.029671920291638898	-0.03948900258966148	-0.0036130680685815845	2.0
20.0	-0.005998479269400558	-0.006426619036371761	-0.02212969681982213	87.11285962732757	0.9950135632176076	-0.03886953145229688	-0.04996704485802206	-0.03445589656040626	-0.0031849283016101284	2.0
21.0	-0.005959935394638904	-0.009630941396080228	-0.0017384166121181543	87.5788126821181	1.0050032991989473	-0.041858805405042165	-0.05454835517269996	-0.039523643238108086	0.0004860776998308697	1.0
22.0	-0.004624916833384951	-0.008495883218667455	-0.007327723718817403	87.40480139493582	1.0011606406084814	-0.04380959346753821	-0.049360220525006104	-0.042989274855395276	0.004357044085113648	1.0
23.0	-0.013348950360984713	-0.011044752982036332	-0.01271568000590384	88.44122186373187	1.0050032991989473	-0.04999323459185678	-0.06697824204213765	-0.04653318509215687	0.0020528467061650263	0.0
24.0	-0.0074681635754965114	-0.00847099340933255	-0.012619189687838706	88.4540988802362	0.9974690486732977	-0.056675889714343786	-0.07820262341427275	-0.05841753032635921	0.003055676540000943	1.0
25.0	-0.00792608906732406	-0.0050515460375542	-0.0045369056822539555	88.54185421633682	0.9999950537866926	-0.05858869273870404	-0.07371681174547007	-0.054561471143597995	0.00018113351023127063	2.0
26.0	-0.00641803385428652	-0.008790869015823155	-0.014871579195852691	88.98451196621482	0.9950135632176076	-0.06265999690526325	-0.08060429190527718	-0.06252158842838407	0.0025539686717678234	1.0
27.0	-0.009527700609235357	-0.006478194985515717	-0.010160592038977567	89.72311454009368	0.9988308397956789	-0.0643898000813814	-0.08609978376158445	-0.06601884967750227	-0.000495536951951836	2.0
28.0	-0.0036861224660587055	-0.005301908585454207	0.001754697517945214	89.1422492110857	1.0011606406084814	-0.06326508963046384	-0.0622153894238171	-0.06414250141206512	0.0011202491674437408	2.0
29.0	-0.0068665156268483685	-0.005257910597769921	-0.007971325590244271	89.00397083243955	0.9974690486732977	-0.05889205883215354	-0.06844829840194322	-0.052367537444890644	-0.0004883558616344287	2.0
30.0	-0.009088478443333603	-0.008573313812260341	-0.01027731050563041	89.20201549035592	0.9950135632176076	-0.058969489425746424	-0.07139788518875623	-0.058299681799043324	-0.0010035204927080852	1.0
31.0	-0.006435270383251979	-0.0076812327273181324	-0.0040080610849440035	88.9991279761256	0.9950135632176076	-0.055605969171028224	-0.06269026626779639	-0.057140123731008075	0.0002424418513581938	1.0
32.0	-0.006077227397007778	-0.004964932226025898	-0.005803247941145173	89.31746307457962	0.9988308397956789	-0.05209990798772157	-0.05587432452110286	-0.050181779888594846	-0.0008698533196237529	2.0
33.0	-0.0008965044777848874	-0.004156778338643807	0.0029725814113819027	88.75974999360236	1.0025275547192944	-0.05120514028881118	-0.048364837427467	-0.053298179035695004	0.0023904205412351824	2.0
